cpu,memory
3.5,43.9
2.6,44.7
2.3,43.4
5.6,43.4
4.1,45.0
6.0,44.0
4.1,43.4
3.7,43.9
3.7,45.0
2.7,43.5
5.0,43.5
2.7,45.9
2.2,43.5
3.4,43.5
3.2,46.6
1.5,43.5
3.5,43.5
2.2,46.2
5.4,43.5
2.8,44.8
0.7,43.9
3.8,43.5
3.3,47.5
3.0,43.5
3.5,43.5
3.4,45.0
2.4,43.4
3.4,43.9
2.5,44.6
4.6,43.5
4.8,45.6
1.2,43.5
6.6,43.5
1.8,44.2
3.1,43.5
1.4,44.0
2.3,44.3
2.8,43.8
3.0,44.2
2.9,44.2
5.0,43.5
2.3,43.9
2.1,44.9
3.8,43.5
4.8,43.5
3.5,44.3
3.0,43.5
4.4,43.8
2.1,44.0
2.6,44.7
3.0,43.5
2.5,47.4
2.0,43.5
3.8,43.8
2.0,44.5
3.6,43.5
3.0,46.0
2.5,43.9
2.9,43.5
3.7,45.8
1.7,43.6
2.8,43.5
3.1,46.1
2.9,43.5
3.1,43.8
2.6,44.0
3.1,43.6
4.4,43.5
2.2,44.6
4.5,43.5
3.4,43.8
2.7,45.0
2.4,43.5
3.2,44.8
2.2,44.1
3.4,43.5
2.6,46.6
2.5,43.9
3.5,43.5
3.7,45.9
3.1,43.5
4.1,43.5
4.1,45.5
2.5,43.8
3.3,43.5
4.4,46.4
2.7,43.6
5.3,43.5
2.0,46.1
2.1,43.5
3.9,43.8
2.5,45.0
2.2,43.5
4.1,43.9
1.5,45.9
2.6,43.6
3.9,44.7
2.2,43.5
2.3,43.8
3.4,44.1
2.1,44.8
2.6,43.6
3.0,45.3
1.8,43.5
2.6,43.5
3.1,45.7
1.3,43.5
2.2,43.5
4.4,46.6
2.8,43.6
4.0,43.8
2.7,45.0
4.4,44.0
3.2,44.1
1.8,43.8
4.4,43.6
2.4,46.6
2.3,43.5
3.9,43.5
1.8,46.4
1.8,43.6
4.7,43.6
3.8,44.7
2.6,43.6
4.3,43.6
2.1,45.4
3.7,43.6
3.4,43.8
2.6,45.8
3.9,43.6
2.5,43.9
1.1,45.0
4.5,43.5
4.2,45.2
3.2,43.6
3.8,44.0
1.9,44.1
1.8,45.2
2.9,43.6
4.6,44.7
2.8,43.6
4.2,43.6
2.1,45.7
2.5,43.9
3.5,43.9
2.7,44.7
2.5,43.6
4.5,43.6
2.6,45.0
1.9,44.6
2.4,43.5
2.7,46.0
2.5,43.9
2.2,43.5
2.7,45.6
2.9,43.9
3.8,43.9
0.9,46.0
1.4,46.6
1.1,46.5
0.9,45.7
2.7,45.7
2.6,46.8
3.5,46.7
1.7,46.9
1.8,45.8
1.3,45.9
1.9,47.5
1.8,47.2
2.0,46.6
3.4,46.3
5.3,43.8
3.1,43.8
3.6,44.7
3.2,44.4
3.1,43.8
5.2,44.4
3.9,44.2
2.9,44.6
4.4,43.8
4.0,44.5
2.8,45.0
1.8,44.3
3.3,43.8
5.1,44.6
2.6,44.3
4.6,44.3
3.0,44.9
2.5,44.5
4.0,44.0
2.9,44.1
2.0,44.7
3.7,44.1
3.1,44.4
1.7,45.3
3.9,43.8
3.8,45.8
2.3,44.3
4.0,43.9
4.0,44.0
3.2,44.2
3.4,43.9
5.9,44.6
2.5,44.4
3.2,44.1
2.3,45.3
1.6,44.7
3.7,43.8
3.1,45.5
2.6,44.0
5.0,43.9
2.7,46.0
2.9,44.3
5.4,44.3
2.6,45.7
3.5,43.9
4.0,43.9
3.5,45.6
2.6,44.1
3.9,44.2
4.6,43.8
3.8,45.5
4.0,43.9
3.7,43.9
1.2,46.3
1.2,44.2
4.9,44.2
5.5,46.4
3.0,44.2
3.6,44.1
3.8,45.7
3.7,44.1
2.4,44.1
4.8,46.3
3.1,44.4
5.0,44.1
2.6,46.0
3.6,44.6
4.8,44.1
2.2,45.9
2.5,44.1
2.6,44.1
2.9,45.9
1.8,44.1
4.7,44.8
3.4,46.0
3.5,44.4
2.8,45.1
4.1,46.3
1.3,44.4
4.5,44.5
2.5,47.1
3.9,44.7
3.6,44.5
2.7,46.8
1.6,44.3
5.1,44.3
3.9,46.8
3.8,44.3
4.3,45.0
3.0,46.7
5.0,45.1
3.3,44.8
2.4,46.1
4.1,45.1
3.8,47.2
2.5,44.8
2.9,44.8
2.8,47.0
3.2,44.8
4.3,45.0
1.8,46.7
2.9,45.6
2.7,44.8
5.1,46.1
2.6,44.8
3.3,44.8
3.0,45.3
3.0,46.2
2.5,44.7
3.2,45.3
3.7,45.9
4.4,45.0
4.4,45.2
2.8,46.0
2.3,44.6
2.4,44.7
4.5,47.0
3.6,44.7
4.7,44.4
3.8,46.4
5.2,44.5
4.2,44.3
2.9,45.6
2.7,44.4
3.4,44.6
3.7,46.0
2.1,44.3
3.6,45.8
3.1,44.4
3.5,44.1
3.8,45.1
1.4,44.3
2.9,44.1
2.4,44.8
2.9,45.2
2.7,44.1
4.5,44.8
2.1,44.5
4.6,44.1
3.0,44.8
3.2,44.4
3.5,44.5
2.2,45.3
4.5,44.1
3.2,44.2
2.8,45.4
3.0,44.7
3.5,44.0
3.5,44.4
3.7,45.5
4.5,44.1
3.8,44.1
2.2,45.9
1.7,44.5
3.7,44.1
3.1,46.3
2.7,44.1
2.6,44.1
2.6,46.1
3.4,44.1
3.8,44.5
2.6,46.0
3.0,44.6
3.4,44.5
4.7,45.3
4.3,44.7
3.1,44.1
3.8,45.4
2.6,44.4
4.0,44.4
2.1,45.1
2.3,45.0
3.3,44.0
2.7,46.2
1.8,44.0
3.1,44.0
3.1,45.7
3.2,44.1
3.6,44.0
3.1,45.6
3.2,43.9
2.5,44.0
3.4,46.3
2.4,43.9
2.4,44.1
4.1,45.8
2.1,43.9
3.0,43.9
3.7,46.6
2.9,43.9
4.0,44.5
2.2,45.4
3.5,44.4
3.1,44.6
2.5,44.8
3.9,43.9
4.3,45.6
1.4,44.2
5.3,43.9
2.3,44.3
4.1,45.5
2.7,43.9
4.5,43.9
3.2,45.5
2.7,43.9
2.8,44.1
1.5,46.5
2.8,43.9
3.6,43.9
2.6,43.9
4.4,44.2
2.5,44.6
2.6,45.0
4.3,44.2
3.1,44.3
4.4,45.6
3.5,43.9
2.8,43.9
3.1,45.9
2.7,44.4
5.7,43.9
3.0,46.3
2.5,43.9
4.3,43.9
2.7,46.5
2.5,44.0
3.7,43.9
2.1,45.9
1.8,43.9
4.6,44.1
3.1,43.9
4.1,44.0
3.7,46.2
2.0,44.3
3.7,43.9
2.9,47.0
1.7,44.0
3.2,44.0
2.9,46.1
3.2,43.9
6.0,43.9
3.5,46.7
3.1,43.9
2.7,43.9
1.9,46.2
1.7,43.9
5.7,43.9
3.8,46.3
4.8,43.9
4.0,44.3
2.4,45.8
3.7,44.4
5.5,44.3
3.5,45.6
3.0,43.9
3.3,45.3
3.2,45.0
3.3,44.0
2.5,43.9
3.1,45.9
3.3,43.9
3.2,45.8
1.6,44.8
3.1,43.9
4.9,46.0
2.7,44.3
4.4,44.2
4.6,46.0
2.4,43.9
3.8,43.9
2.6,46.7
1.9,43.9
4.1,43.9
2.9,44.6
2.6,43.9
4.1,44.2
4.1,43.9
3.9,45.2
4.1,43.9
3.5,43.9
5.6,45.7
4.2,43.9
3.5,44.6
3.5,43.9
3.9,44.7
3.1,44.0
3.4,44.2
3.6,44.9
3.2,44.8
2.6,44.0
4.3,44.0
2.7,43.9
3.9,44.3
3.2,44.3
2.4,44.6
3.2,44.4
6.2,44.4
4.2,44.0
3.4,44.9
3.4,45.3
3.3,44.3
4.5,44.7
2.4,44.5
3.6,44.8
3.0,44.5
5.5,44.0
4.0,44.5
4.6,44.4
3.9,45.0
2.0,44.0
5.1,44.0
2.6,45.0
4.4,44.3
5.2,44.4
3.9,44.0
6.1,44.4
4.2,44.3
4.1,44.7
5.0,44.4
5.4,44.3
3.0,44.0
2.8,44.1
4.9,44.4
4.9,44.6
3.1,44.5
4.6,44.6
3.9,44.3
4.9,44.3
3.6,45.0
4.4,44.6
4.5,44.8
6.1,44.9
6.6,45.1
5.2,44.4
3.6,44.1
3.3,44.2
3.9,44.5
4.9,43.8
4.1,43.9
4.5,44.2
5.9,44.8
3.6,44.4
3.8,44.5
4.6,44.9
4.6,44.9
2.4,44.1
5.3,44.1
4.2,45.1
3.4,44.3
